ID,Date / Time,Country,City,State,Shape,Summary,lat,lng,Date,Time
1765,8/20/16 22:50,USA,San Diego,CA,Circle,"My wife and I both saw three orange lights in the sky, moving in different 
directions, and making no sound.",32.7174209,-117.1627713,08/20/16,22:50
1848,8/15/16 21:36,USA,San Diego,CA,Fireball,"Flashing fireball slowly moving over Mission Valley around 9:36 pm on 
Monday night 8/15/2016. Looked like the flash of fire wold repeat",32.7174209,-117.1627713,08/15/16,21:36
2249,7/27/16 21:35,USA,San Diego,CA,Light,Looking north from Point Loma in San Diego ((NUFORC Note: Space debris. PD)),32.7174209,-117.1627713,07/27/16,21:35
2475,7/15/16 04:45,USA,San Diego,CA,Triangle,Triangular UFO. ((anonymous report)),32.7174209,-117.1627713,07/15/16,04:45
3267,5/21/16 21:45,USA,San Diego,CA,Other,"Formation of 12 steady white lights floats from west to east, slowly 
ascending, over Mission Valley, San Diego.",32.7174209,-117.1627713,05/21/16,21:45
3500,4/30/16 04:00,USA,San Diego,CA,Light,"4 short 5 second bursts of light in the clouds, each spread out 15 seconds 
apart. ((anonymous report))",32.7174209,-117.1627713,04/30/16,04:00
3539,4/26/16 20:25,USA,San Diego,CA,Triangle,"Triangular delta shaped object, large and silent moved nnw from coronado 
over lindbergh and continuing nnw. ((anonymous source))",32.7174209,-117.1627713,04/26/16,20:25
3825,04/02/2016 13:45,USA,San Diego,CA,Other,"UFO Fleet Observed Passing Over Tecolote Shores Park Near Mission Bay, San 
Diego.",32.7174209,-117.1627713,04/02/2016,13:45
3859,3/31/16 04:00,USA,San Diego,CA,Other,Many bright rotations of Other air crafts.,32.7174209,-117.1627713,03/31/16,04:00
4479,02/11/2016 06:42,USA,San Diego,CA,Other,Pink and green flash and disappeared.,32.7174209,-117.1627713,02/11/2016,06:42
4482,02/11/2016 06:40,USA,San Diego,CA,Light,Blue light streaks across San Diego sky.,32.7174209,-117.1627713,02/11/2016,06:40
4722,1/25/16 05:45,USA,San Diego,CA,Sphere,"Steady light traveling at a high velocity across the southern dark morning 
sky.",32.7174209,-117.1627713,01/25/16,05:45
4934,01/05/2016 21:18,USA,San Diego,CA,Light,"I was sitting on my front porch when I witnessed two objects flying from 
south to north at an apparent high rate of speed at about 50-5",32.7174209,-117.1627713,01/05/2016,21:18
4944,01/04/2016 21:20,USA,San Diego,CA,Triangle,"Driving home from class, looked up, and saw the orangish reddish lights 
flyung slow and lower than a plane would. Then the three lights",32.7174209,-117.1627713,01/04/2016,21:20
66,12/12/2016 20:45,USA,Jacksonville,FL,Light,"Looking in the east night sky, two airplanes where flying in an echelon 
formation, approximately 10,000 feet. Appearing between the two",30.3321838,-81.6556509,12/12/2016,20:45
378,11/14/16 19:17,USA,Jacksonville,FL,Light,Bright Light in Clear Sky.,30.3321838,-81.6556509,11/14/16,19:17
729,10/22/16 20:00,USA,Jacksonville,FL,Light,"For 2 weeks, a bright star-like light appears in SW sky every night around 
dusk, then disappears.",30.3321838,-81.6556509,10/22/16,20:00
814,10/17/16 22:00,USA,Jacksonville,AR,Light,"Saw small craft with white, blue, and red blinking lights hovering in one 
area then saw a triangle craft with light sound fly from mili",34.8662005,-92.1101457,10/17/16,22:00
831,10/17/16 05:35,USA,Jacksonville,FL,Other,Blue light hovering then zoomed away.,30.3321838,-81.6556509,10/17/16,05:35
1644,8/29/16 20:45,USA,Jacksonville,FL,Sphere,"5 orange-yellow lights near I-295 E of Buckman Bridge, moving slowly 
vertically and horizontally.",30.3321838,-81.6556509,08/29/16,20:45
